Species (English and scientific names),Taxonomic group,COSEWIC Status,SARA Status,Page on SARA registry,Timeline,After 2017?,Lag (days) Minister -> GiC Receipt,Aquatic_vs_terrestrial,Consultation_Pathway,Last Minister Receipt,date_1,doc_type_1,date_2,doc_type_2,date_3,doc_type_3,date_4,doc_type_4,date_5,doc_type_5,date_6,doc_type_6,date_7,doc_type_7,date_8,doc_type_8,date_9,doc_type_9,date_10,doc_type_10,date_11,doc_type_11,date_12,doc_type_12,date_13,doc_type_13,date_14,doc_type_14,date_15,doc_type_15,date_16,doc_type_16,date_17,doc_type_17,date_18,doc_type_18
"Atlantic Cod (Gadus morhua), Maritimes population",Fishes (marine),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/763-290,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,2005-12-10T08:00:00Z,5_GiC_Listing_Decision,2006-04-19T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bering Wolffish (Anarhichas orientalis),Fishes (marine),Data Deficient,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/86-526,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bird's-foot Violet (Viola pedata),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/209-167,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackline Prickleback (Acantholumpenus mackayi),Fishes (marine),Data Deficient,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/90-527,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canadian Toad (Bufo hemiophrys),Amphibians,Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/758-0,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Channel Darter (Percina copelandi),Fishes (freshwater),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/74-53,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-19T07:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-07-14T07:00:00Z,3_Consultation_End,2005-12-10T08:00:00Z,5_GiC_Listing_Decision,2006-04-19T07:00:00Z,5_GiC_Listing_Decision,2017-10-24T07:00:00Z,0_COSEWIC_Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiselmouth (Acrocheilus alutaceus),Fishes (freshwater),Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/500-0,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climbing Prairie Rose (Rosa setigera),Vascular Plants,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/245-87,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coastal Scouler's Catchfly (Silene scouleri ssp. grandis),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/775-307,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2003-12-22T08:00:00Z,0_COSEWIC_Assessment,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,2022-02-16T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeKay's Brownsnake (Storeria dekayi),Reptiles,Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/707-0,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Prairie Fringed Orchid (Platanthera leucophaea),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/248-289,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,2012-04-21T07:00:00Z,5_GiC_Listing_Decision,2012-07-04T07:00:00Z,5_GiC_Listing_Decision,2022-02-16T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forked Three-awned Grass (Aristida basiramea),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/744-308,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2002-11-01T08:00:00Z,0_COSEWIC_Assessment,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grizzly Bear (Ursus arctos), Northwestern population",Mammals (terrestrial),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/639-100,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grizzly Bear (Ursus arctos), Prairie population",Mammals (terrestrial),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/139-123,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howell's Triteleia (Triteleia howellii),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/778-311,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2003-05-01T07:00:00Z,0_COSEWIC_Assessment,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Humpback Whale (Megaptera novaeangliae), Western North Atlantic population",Mammals (marine),Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/160-531,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kellogg's Rush (Juncus kelloggii),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/767-310,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2003-12-22T08:00:00Z,0_COSEWIC_Assessment,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemmon's Holly Fern (Polystichum lemmonii),Vascular Plants,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/772-319,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2003-05-01T07:00:00Z,0_COSEWIC_Assessment,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Margined Madtom (Noturus insignis),Fishes (freshwater),Data Deficient,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/80-58,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massasauga (Sistrurus catenatus),Reptiles,Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/277-205,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,2013-10-30T07:00:00Z,0_COSEWIC_Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Alligator Lizard (Elgaria coerulea),Reptiles,Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/711-0,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Watersnake (Nerodia sipedon sipedon),Reptiles,Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/701-0,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern Gartersnake (Thamnophis ordinoides),Reptiles,Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/777-0,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific Sardine (Sardinops sagax),Fishes (marine),Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/106-528,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plains Spadefoot (Spea bombifrons),Amphibians,Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/776-0,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shortjaw Cisco (Coregonus zenithicus),Fishes (freshwater),Threatened,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/82-60,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-19T07:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-07-14T07:00:00Z,3_Consultation_End,2005-12-10T08:00:00Z,5_GiC_Listing_Decision,2006-04-19T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small-flowered Lipocarpha (Lipocarpha micrantha),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/231-187,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spring Salamander (Gyrinophilus porphyriticus),Amphibians,Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/563-105,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2002-05-01T07:00:00Z,0_COSEWIC_Assessment,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streambank Lupine (Lupinus rivularis),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/746-309,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2002-11-01T08:00:00Z,0_COSEWIC_Assessment,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuberous Indian-plantain (Arnoglossum plantagineum),Vascular Plants,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/256-108,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Van Brunt's Jacob's-ladder (Polemonium vanbruntiae),Vascular Plants,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/234-188,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Spiderwort (Tradescantia occidentalis),Vascular Plants,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/236-190,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Toad (Anaxyrus boreas),Amphibians,Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/748-286,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2002-01-13T08:00:00Z,0_COSEWIC_Assessment,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,2012-04-21T07:00:00Z,5_GiC_Listing_Decision,2012-07-04T07:00:00Z,5_GiC_Listing_Decision,2013-11-07T08:00:00Z,0_COSEWIC_Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wild Hyacinth (Camassia scilloides),Vascular Plants,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/270-83,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wolf-eel (Anarrhichthys ocellatus),Fishes (marine),Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/704-0,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wolverine (Gulo gulo), Eastern population",Mammals (terrestrial),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/137-125,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,2015-01-06T08:00:00Z,0_COSEWIC_Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wolverine (Gulo gulo), Western population",Mammals (terrestrial),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/172-288,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,2015-01-06T08:00:00Z,0_COSEWIC_Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woodland Caribou (Rangifer tarandus caribou), Southern Mountain population",Mammals (terrestrial),Non-active,Threatened,https://species-registry.canada.ca/index-en.html#/species/638-253,No GiC Receipt (status change),FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,2015-01-13T08:00:00Z,2_Consultation_Begin,2015-10-15T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beluga Whale (Delphinapterus leucas), Western Hudson Bay population",Mammals (marine),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/366-364,Assessed on time!,FALSE,389,,,2004-10-22T07:00:00Z,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bog Birdâ€™s-foot Trefoil (Lotus pinnatus),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/813-347,No GiC Receipt (no change needed),FALSE,0,,,2004-10-22T07:00:00Z,2004-05-01T07:00:00Z,0_COSEWIC_Assessment,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Branched Bartonia (Bartonia paniculata ssp. paniculata),Vascular Plants,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/241-338,No GiC Receipt (no change needed),FALSE,0,,,2004-10-22T07:00:00Z,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dwarf Hackberry (Celtis tenuifolia),Vascular Plants,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/247-337,No GiC Receipt (no change needed),FALSE,0,,,2004-10-22T07:00:00Z,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dwarf Sandwort (Minuartia pusilla),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/815-352,No GiC Receipt (no change needed),FALSE,0,,,2004-10-22T07:00:00Z,2004-05-01T07:00:00Z,0_COSEWIC_Assessment,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Lilaeopsis (Lilaeopsis chinensis),Vascular Plants,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/258-361,No GiC Receipt (no change needed),FALSE,0,,,2004-10-22T07:00:00Z,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
